Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
SCOOPY-I,blue,2555.0,2592.655274888559,24000.0,SCOOPY-I
SCOOPY-I,Other,2557.0,2592.655274888559,25500.0,SCOOPY-I
ZOOMER-X,yellow,2558.0,2592.655274888559,33500.0,ZOOMER-X
PCX150,white,2556.0,2592.655274888559,42000.0,PCX150
GRAND FILANO,blue,2560.0,2592.655274888559,36000.0,GRAND FILANO
PCX150,red,2559.0,2592.655274888559,67500.0,PCX150
ZOOMER-X,blue,2559.0,2592.655274888559,33500.0,ZOOMER-X
FINO,Other,2554.0,2592.655274888559,20000.0,FINO
SCOOPY-I,white,2556.0,2592.655274888559,26000.0,SCOOPY-I
SCOOPY-I,black,2560.0,3.0,33000.0,SCOOPY-I
CLICK125I,white,2558.0,2592.655274888559,31500.0,CLICK125I
CLICK125I,blue,2560.0,2592.655274888559,34500.0,CLICK125I
ZOOMER-X,Other,2557.0,2592.655274888559,25000.0,ZOOMER-X
PCX150,red,2559.0,8.0,73000.0,PCX150
SCOOPY-I,Other,2559.0,2.0,33500.0,SCOOPY-I
SCOOPY-I,black,2557.0,2592.655274888559,27000.0,SCOOPY-I
SCOOPY-I,Other,2557.0,8.0,28500.0,SCOOPY-I
SCOOPY-I,white,2559.0,2592.655274888559,31500.0,SCOOPY-I
MOOVE,black,2560.0,6.0,35000.0,MOOVE
GRAND FILANO,black,2559.0,2592.655274888559,36500.0,GRAND FILANO
CLICK125I,Other,2558.0,32.0,32000.0,CLICK125I
SCOOPY-I,Other,2557.0,2592.655274888559,26000.0,SCOOPY-I
CLICK,pink,2551.0,2592.655274888559,15500.0,CLICK
SCOOPY-I,black,2556.0,2592.655274888559,27000.0,SCOOPY-I
SCOOPY-I,Other,2560.0,6.0,32000.0,SCOOPY-I
FINO,pink,2555.0,20.0,20000.0,FINO
CLICK125I,Other,2557.0,2592.655274888559,28500.0,CLICK125I
PCX150,blue,2559.0,2592.655274888559,73000.0,PCX150
PCX150,white,2560.0,69.0,69500.0,PCX150
PCX150,red,2558.0,2592.655274888559,60500.0,PCX150
CLICK125I,white,2557.0,2592.655274888559,26000.0,CLICK125I
CLICK125I,black,2557.0,2592.655274888559,26000.0,CLICK125I
CLICK125I,orange,2559.0,2592.655274888559,34000.0,CLICK125I
PCX150,black,2558.0,64.0,64000.0,PCX150
SCOOPY-I,Other,2559.0,2592.655274888559,28500.0,SCOOPY-I
FINO FI,Other,2556.0,2592.655274888559,24000.0,FINO FI
SCOOPY-I,white,2560.0,3.0,32500.0,SCOOPY-I
SCOOPY-I,red,2557.0,2592.655274888559,28000.0,SCOOPY-I
MIO125I,pink,2556.0,2592.655274888559,19500.0,MIO125I
GRAND FILANO,red,2560.0,2592.655274888559,37500.0,GRAND FILANO
CLICK,Other,2550.0,2592.655274888559,16000.0,CLICK
CLICK110I,pink,2553.0,2592.655274888559,20500.0,CLICK110I
PCX150,red,2557.0,64.0,64500.0,PCX150
N-MAX,black,2559.0,2592.655274888559,52500.0,N-MAX
ZOOMER-X,white,2559.0,2592.655274888559,29000.0,ZOOMER-X
PCX150,red,2558.0,7.0,67000.0,PCX150
PCX150,Other,2559.0,73.0,73500.0,PCX150
FINO,green,2555.0,2592.655274888559,20000.0,FINO
SCOOPY-I,Other,2553.0,2592.655274888559,21000.0,SCOOPY-I
CLICK125I,black,2556.0,2592.655274888559,25000.0,CLICK125I
CLICK125I,black,2556.0,2592.655274888559,24500.0,CLICK125I
FINO,green,2554.0,2592.655274888559,20000.0,FINO
ZOOMER-X,Other,2557.0,2592.655274888559,26500.0,ZOOMER-X
PCX150,red,2556.0,2592.655274888559,42500.0,PCX150
ZOOMER-X,red,2559.0,2592.655274888559,33000.0,ZOOMER-X
MOOVE,Other,2559.0,2592.655274888559,33000.0,MOOVE
PCX150,brown,2556.0,2592.655274888559,44000.0,PCX150
ZOOMER-X,orange,2557.0,27.0,27500.0,ZOOMER-X
ZOOMER-X,white,2557.0,2592.655274888559,29000.0,ZOOMER-X
FINO FI,Other,2558.0,2592.655274888559,25000.0,FINO FI
FINO,black,2555.0,2592.655274888559,19000.0,FINO
FINO,Other,2551.0,2592.655274888559,17000.0,FINO
SCOOPY-I,Other,2560.0,32.0,32000.0,SCOOPY-I
GRAND FILANO,Other,2560.0,2592.655274888559,37000.0,GRAND FILANO
